Rank,ID,Name,Position,Week,Team,Opp,Att,RushYds,RushYds/Att,RushTD,Targets,Rec,PassYds,PassTD,Fum,Lost,FantasyPoints
2,4807,Adrian Peterson,RB,11,MIN,GB,13,45,4,1,2,2,16,0,1,1,10.10
3,2220,Ahmad Bradshaw,RB,11,IND,ATL,9,32,4,0,4,4,20,2,0,0,17.20
4,17199,Akeem Hunt,RB,11,HOU,NYJ,2,4,2,0,1,0,0,0,0,0,0.40
5,16189,Alfred Blue,RB,11,HOU,NYJ,21,58,3,0,3,3,34,1,0,0,15.20
6,14269,Alfred Morris,RB,11,WAS,CAR,2,0,0,0,0,0,0,0,0,0,0.00
7,16815,Ameer Abdullah,RB,11,DET,OAK,12,44,4,0,2,1,2,0,0,0,4.60
8,15224,Andre Ellington,RB,11,ARI,CIN,2,2,1,0,2,1,5,0,0,0,0.70
9,12285,Anthony Dixon,RB,11,BUF,NE,0,0,0,0,0,0,0,0,0,0,0.00
10,13418,Anthony Sherman,FB,11,KC,SD,0,0,0,0,0,0,0,0,0,0,0.00
11,11439,Antone Smith,RB,11,CHI,DEN,0,0,0,0,0,0,0,0,0,0,0.00
12,16163,Antonio Andrews,RB,11,TEN,JAX,15,78,5,0,2,2,16,0,0,0,9.40
13,15207,Benjamin Cunningham,RB,11,LA,BAL,1,0,0,0,2,1,20,0,0,0,2.00
14,12800,Bilal Powell,RB,11,NYJ,HOU,4,22,6,0,7,5,67,0,0,0,8.90
15,13852,Bobby Rainey,RB,11,TB,PHI,1,5,5,0,0,0,0,0,1,0,0.50
16,13741,Brandon Bolden,RB,11,NE,BUF,4,15,4,0,1,0,0,0,0,0,1.50
17,13446,Bruce Miller,FB,11,SF,SEA,0,0,0,0,0,0,0,0,0,0,0.00
18,11737,Cedric Peerman,RB,11,CIN,ARI,0,0,0,0,0,0,0,0,0,0,0.00
19,16307,Charcandrick West,RB,11,KC,SD,11,16,2,0,2,2,48,0,0,0,6.40
20,16609,Charles Sims,RB,11,TB,PHI,10,43,4,0,4,3,26,1,0,0,12.90
21,15596,Chase Reynolds,RB,11,LA,BAL,0,0,0,0,0,0,0,0,0,0,0.00
22,12239,Chris Ivory,RB,11,NYJ,HOU,8,36,5,0,1,1,9,0,1,0,4.50
23,6828,Chris Johnson,RB,11,ARI,CIN,18,63,4,0,2,1,2,0,0,0,6.50
24,15102,Chris Thompson,RB,11,WAS,CAR,4,10,3,0,4,3,7,0,1,0,1.70
25,15020,CJ Anderson,RB,11,DEN,CHI,12,59,5,0,2,2,13,0,0,0,7.20
26,16031,Damien Williams,RB,11,MIA,DAL,0,0,0,0,0,0,0,0,0,0,0.00
27,12317,Danny Woodhead,RB,11,SD,KC,6,7,1,0,2,1,9,0,0,0,1.60
28,11969,Darrel Young,FB,11,WAS,CAR,0,0,0,0,0,0,0,0,0,0,0.00
29,8066,Darren McFadden,RB,11,DAL,MIA,29,129,4,0,3,3,20,0,0,0,14.90
30,6198,Darren Sproles,RB,11,PHI,TB,6,21,4,0,7,3,38,1,0,0,11.90
31,16898,David Cobb,RB,11,TEN,JAX,4,-3,-1,0,0,0,0,0,0,0,-0.30
32,16847,David Johnson,RB,11,ARI,CIN,2,9,5,0,2,2,17,1,1,0,8.60
33,13124,DeMarco Murray,RB,11,PHI,TB,13,64,5,0,5,4,27,0,1,1,7.10
34,15018,Denard Robinson,RB,11,JAX,TEN,7,27,4,0,0,0,0,0,0,0,2.70
35,15631,Derrick Coleman,FB,11,SEA,SF,0,0,0,0,0,0,0,0,0,0,0.00
36,16524,Devonta Freeman,RB,11,ATL,IND,3,43,14,0,0,0,0,0,0,0,4.30
37,11220,Dexter McCluster,RB,11,TEN,JAX,2,0,0,0,2,2,18,0,0,0,1.80
38,8604,Donald Brown,RB,11,SD,KC,0,0,0,0,0,0,0,0,0,0,0.00
39,14385,Doug Martin,RB,11,TB,PHI,27,235,9,0,1,0,0,0,0,0,23.50
40,15138,Eddie Lacy,RB,11,GB,MIN,22,100,5,0,2,1,6,0,0,0,10.60
41,15616,Fozzy Whittaker,RB,11,CAR,WAS,2,6,3,0,1,1,2,0,0,0,0.80
42,5820,Frank Gore,RB,11,IND,ATL,14,34,2,0,5,5,46,0,1,1,6.00
43,5701,Fred Jackson,RB,11,SEA,SF,4,11,3,0,2,2,11,0,0,0,2.20
44,15497,George Winn,RB,11,DET,OAK,0,0,0,0,0,0,0,0,0,0,0.00
45,14916,Giovani Bernard,RB,11,CIN,ARI,6,18,3,0,10,8,128,0,1,0,14.60
46,16869,Jalston Fowler,RB,11,TEN,JAX,0,0,0,0,1,1,2,0,0,0,0.20
47,12506,James Starks,RB,11,GB,MIN,8,14,2,0,1,1,30,0,0,0,4.40
48,16056,James White,RB,11,NE,BUF,2,14,7,1,3,2,32,1,0,0,16.60
49,14789,Jamize Olawale,FB,11,OAK,DET,4,12,3,0,1,1,15,0,0,0,2.70
50,16886,Javorius Allen,RB,11,BAL,LA,22,67,3,0,6,5,48,0,0,0,11.50
1,16966,Aaron Ripkowski,FB,12,GB,CHI,0,0,0,0,0,0,0,0,0,0,0.00
2,4807,Adrian Peterson,RB,12,MIN,ATL,29,158,5,2,4,2,29,0,0,0,30.70
3,2220,Ahmad Bradshaw,RB,12,IND,TB,4,6,2,0,4,3,20,0,0,0,2.60
4,17199,Akeem Hunt,RB,12,HOU,NO,3,27,9,0,1,1,-2,0,0,0,2.50
5,16189,Alfred Blue,RB,12,HOU,NO,16,77,5,1,1,1,4,0,0,0,14.10
6,14269,Alfred Morris,RB,12,WAS,NYG,23,78,3,0,1,1,12,0,0,0,9.00
7,16815,Ameer Abdullah,RB,12,DET,PHI,16,63,4,0,2,1,12,0,0,0,7.50
8,15224,Andre Ellington,RB,12,ARI,SF,5,24,5,0,5,3,22,0,0,0,4.60
9,16402,Andre Williams,RB,12,NYG,WAS,2,1,1,0,0,0,0,0,0,0,0.10
10,12285,Anthony Dixon,RB,12,BUF,KC,2,8,4,0,0,0,0,0,0,0,0.80
11,13418,Anthony Sherman,FB,12,KC,BUF,0,0,0,0,0,0,0,0,0,0,0.00
12,11439,Antone Smith,RB,12,CHI,GB,0,0,0,0,0,0,0,0,0,0,0.00
13,16163,Antonio Andrews,RB,12,TEN,OAK,11,32,3,0,2,1,14,0,0,0,4.60
14,15207,Benjamin Cunningham,RB,12,LA,CIN,2,12,6,0,3,1,5,0,0,0,1.70
15,12800,Bilal Powell,RB,12,NYJ,MIA,6,28,5,0,5,2,7,0,0,0,3.50
16,16178,Bishop Sankey,RB,12,TEN,OAK,0,0,0,0,0,0,0,0,0,0,0.00
17,13852,Bobby Rainey,RB,12,TB,IND,0,0,0,0,0,0,0,0,0,0,0.00
18,13741,Brandon Bolden,RB,12,NE,DEN,4,11,3,0,4,4,84,1,0,0,15.50
19,13446,Bruce Miller,FB,12,SF,ARI,0,0,0,0,0,0,0,0,0,0,0.00
20,11737,Cedric Peerman,RB,12,CIN,LA,0,0,0,0,0,0,0,0,0,0,0.00
21,16609,Charles Sims,RB,12,TB,IND,4,8,2,0,3,3,31,0,0,0,3.90
22,15596,Chase Reynolds,RB,12,LA,CIN,0,0,0,0,0,0,0,0,0,0,0.00
23,12239,Chris Ivory,RB,12,NYJ,MIA,21,87,4,1,2,2,15,0,0,0,16.20
24,6828,Chris Johnson,RB,12,ARI,SF,12,17,1,0,0,0,0,0,0,0,1.70
25,13735,Chris Polk,RB,12,HOU,NO,6,21,4,0,1,1,6,0,0,0,2.70
26,15102,Chris Thompson,RB,12,WAS,NYG,2,7,4,0,1,1,9,0,0,0,1.60
27,15020,CJ Anderson,RB,12,DEN,NE,15,113,8,2,4,4,40,0,0,0,27.30
28,10949,CJ Spiller,RB,12,NO,HOU,1,-2,-2,0,3,2,8,0,0,0,0.60
29,16031,Damien Williams,RB,12,MIA,NYJ,0,0,0,0,4,2,10,0,0,0,1.00
30,14788,Dan Herron,RB,12,IND,TB,0,0,0,0,0,0,0,0,0,0,0.00
31,12317,Danny Woodhead,RB,12,SD,JAX,4,8,2,0,6,6,39,0,0,0,4.70
32,11969,Darrel Young,FB,12,WAS,NYG,0,0,0,0,0,0,0,0,0,0,0.00
33,8066,Darren McFadden,RB,12,DAL,CAR,10,11,1,0,6,4,45,0,0,0,7.60
34,6198,Darren Sproles,RB,12,PHI,DET,2,4,2,0,6,4,21,0,0,0,2.50
35,16898,David Cobb,RB,12,TEN,OAK,3,8,3,0,1,0,0,0,0,0,0.80
36,16847,David Johnson,RB,12,ARI,SF,8,21,3,1,4,2,8,0,0,0,8.90
37,7580,DeAngelo Williams,RB,12,PIT,SEA,8,29,4,1,7,7,88,0,0,0,17.70
38,13124,DeMarco Murray,RB,12,PHI,DET,14,30,2,0,0,0,0,0,0,0,3.00
39,15018,Denard Robinson,RB,12,JAX,SD,3,23,8,0,1,1,9,0,0,0,3.20
40,15631,Derrick Coleman,FB,12,SEA,PIT,1,1,1,0,0,0,0,0,0,0,0.10
41,8604,Donald Brown,RB,12,SD,JAX,3,2,1,0,2,0,0,0,0,0,0.20
42,14385,Doug Martin,RB,12,TB,IND,14,97,7,0,3,1,1,0,0,0,9.80
43,16838,Duke Johnson,RB,12,CLE,BAL,7,27,4,0,6,5,23,0,0,0,5.00
44,15138,Eddie Lacy,RB,12,GB,CHI,17,105,6,0,5,4,34,1,1,1,17.90
45,15616,Fozzy Whittaker,RB,12,CAR,DAL,0,0,0,0,0,0,0,0,0,0,0.00
46,5820,Frank Gore,RB,12,IND,TB,19,24,1,0,3,2,13,0,0,0,3.70
47,5701,Fred Jackson,RB,12,SEA,PIT,1,4,4,0,2,2,7,0,0,0,1.10
48,15497,George Winn,RB,12,DET,PHI,3,1,0,0,0,0,0,0,0,0,0.10
49,14916,Giovani Bernard,RB,12,CIN,LA,10,16,2,0,3,2,51,0,1,0,6.70
50,16740,Glenn Winston,RB,12,CLE,BAL,0,0,0,0,0,0,0,0,0,0,0.00
1,4807,Adrian Peterson,RB,13,MIN,SEA,8,18,2,0,4,4,6,0,0,0,2.40
2,17199,Akeem Hunt,RB,13,HOU,BUF,1,7,7,0,1,1,0,0,0,0,0.70
3,16189,Alfred Blue,RB,13,HOU,BUF,4,14,4,0,0,0,0,0,0,0,1.40
4,14269,Alfred Morris,RB,13,WAS,DAL,6,12,2,0,0,0,0,0,0,0,1.20
5,16815,Ameer Abdullah,RB,13,DET,GB,13,67,5,0,1,0,0,0,0,0,6.70
6,16402,Andre Williams,RB,13,NYG,NYJ,6,22,4,0,1,0,0,0,0,0,2.20
7,12285,Anthony Dixon,RB,13,BUF,HOU,1,6,6,0,0,0,0,0,0,0,0.60
8,13418,Anthony Sherman,FB,13,KC,OAK,0,0,0,0,1,0,0,0,0,0,0.00
9,16163,Antonio Andrews,RB,13,TEN,JAX,13,58,5,1,1,1,10,0,0,0,12.80
10,15207,Benjamin Cunningham,RB,13,LA,ARI,0,0,0,0,1,0,0,0,0,0,0.00
11,12800,Bilal Powell,RB,13,NYJ,NYG,6,17,3,0,13,8,91,1,0,0,16.80
12,16178,Bishop Sankey,RB,13,TEN,JAX,0,0,0,0,1,0,0,0,0,0,0.00
13,13852,Bobby Rainey,RB,13,TB,ATL,0,0,0,0,0,0,0,0,0,0,0.00
14,13741,Brandon Bolden,RB,13,NE,PHI,3,22,7,0,5,1,2,0,0,0,2.40
15,13446,Bruce Miller,FB,13,SF,CHI,1,4,4,0,1,1,4,0,0,0,0.80
16,11737,Cedric Peerman,RB,13,CIN,CLE,0,0,0,0,0,0,0,0,0,0,0.00
17,16307,Charcandrick West,RB,13,KC,OAK,9,35,4,0,3,2,9,0,1,0,4.40
18,16609,Charles Sims,RB,13,TB,ATL,7,56,8,0,3,2,21,0,0,0,7.70
19,15596,Chase Reynolds,RB,13,LA,ARI,0,0,0,0,0,0,0,0,0,0,0.00
20,12239,Chris Ivory,RB,13,NYJ,NYG,10,47,5,0,5,5,22,0,1,1,4.90
21,13735,Chris Polk,RB,13,HOU,BUF,12,61,5,0,1,1,11,1,0,0,13.20
22,15102,Chris Thompson,RB,13,WAS,DAL,1,6,6,0,4,4,18,0,0,0,2.40
23,15020,CJ Anderson,RB,13,DEN,SD,7,42,6,0,1,1,12,0,0,0,5.40
24,10949,CJ Spiller,RB,13,NO,CAR,0,0,0,0,2,1,0,0,0,0,0.00
25,16031,Damien Williams,RB,13,MIA,BAL,1,1,1,0,1,1,5,0,0,0,0.60
26,14788,Dan Herron,RB,13,IND,PIT,2,8,4,0,3,3,16,0,0,0,2.40
27,12317,Danny Woodhead,RB,13,SD,DEN,3,10,3,0,7,3,24,0,0,0,3.40
28,11969,Darrel Young,FB,13,WAS,DAL,0,0,0,0,0,0,0,0,0,0,0.00
29,8066,Darren McFadden,RB,13,DAL,WAS,14,53,4,1,1,1,6,0,2,2,7.90
30,6198,Darren Sproles,RB,13,PHI,NE,15,66,4,0,6,4,34,0,0,0,10.00
31,16898,David Cobb,RB,13,TEN,JAX,13,40,3,0,0,0,0,0,0,0,4.00
32,16847,David Johnson,RB,13,ARI,LA,22,99,5,0,3,2,21,1,1,0,18.00
33,7580,DeAngelo Williams,RB,13,PIT,IND,26,134,5,0,6,5,31,0,2,1,14.50
34,13124,DeMarco Murray,RB,13,PHI,NE,8,24,3,0,0,0,0,0,0,0,2.40
35,15018,Denard Robinson,RB,13,JAX,TEN,3,21,7,0,1,1,2,0,0,0,2.30
36,15631,Derrick Coleman,FB,13,SEA,MIN,0,0,0,0,0,0,0,0,0,0,0.00
37,16524,Devonta Freeman,RB,13,ATL,TB,14,47,3,0,11,10,56,0,0,0,10.30
38,8604,Donald Brown,RB,13,SD,DEN,7,26,4,0,1,1,31,0,1,0,5.70
39,14385,Doug Martin,RB,13,TB,ATL,25,95,4,1,2,1,5,0,1,1,14.00
40,12985,DuJuan Harris,RB,13,SEA,MIN,3,7,2,0,0,0,0,0,0,0,0.70
41,16838,Duke Johnson,RB,13,CLE,CIN,5,2,0,0,4,4,30,0,0,0,3.20
42,15138,Eddie Lacy,RB,13,GB,DET,5,4,1,0,1,1,-3,0,0,0,0.10
43,16699,Fitzgerald Toussaint,RB,13,PIT,IND,4,12,3,0,0,0,0,0,0,0,1.20
44,15616,Fozzy Whittaker,RB,13,CAR,NO,1,11,11,0,0,0,0,0,1,0,1.10
45,5820,Frank Gore,RB,13,IND,PIT,13,45,4,0,5,3,49,1,0,0,15.40
46,5701,Fred Jackson,RB,13,SEA,MIN,1,5,5,0,2,2,13,1,0,0,7.80
47,15497,George Winn,RB,13,DET,GB,0,0,0,0,0,0,0,0,0,0,0.00
48,14916,Giovani Bernard,RB,13,CIN,CLE,5,26,5,0,1,1,9,0,0,0,3.50
49,16127,Isaiah Crowell,RB,13,CLE,CIN,11,62,6,0,1,1,2,0,0,0,6.40
50,16869,Jalston Fowler,RB,13,TEN,JAX,0,0,0,0,0,0,0,0,0,0,0.00
1,16966,Aaron Ripkowski,FB,14,GB,DAL,0,0,0,0,0,0,0,0,0,0,0.00
2,4807,Adrian Peterson,RB,14,MIN,ARI,23,69,3,1,1,1,17,0,1,1,12.60
3,17199,Akeem Hunt,RB,14,HOU,NE,1,1,1,0,0,0,0,0,0,0,0.10
4,16189,Alfred Blue,RB,14,HOU,NE,0,0,0,0,0,0,0,0,0,0,0.00
5,14269,Alfred Morris,RB,14,WAS,CHI,11,24,2,1,1,0,0,0,0,0,8.40
6,16815,Ameer Abdullah,RB,14,DET,LA,7,23,3,0,2,2,21,0,0,0,4.40
7,16402,Andre Williams,RB,14,NYG,MIA,3,3,1,0,0,0,0,0,0,0,0.30
8,12285,Anthony Dixon,RB,14,BUF,PHI,0,0,0,0,0,0,0,0,0,0,0.00
9,13418,Anthony Sherman,FB,14,KC,SD,0,0,0,0,0,0,0,0,0,0,0.00
10,16163,Antonio Andrews,RB,14,TEN,NYJ,4,8,2,0,2,1,6,0,0,0,7.04
11,15191,Austin Johnson,FB,14,NO,TB,0,0,0,0,0,0,0,0,0,0,0.00
12,15207,Benjamin Cunningham,RB,14,LA,DET,3,14,5,0,1,1,8,0,0,0,2.20
13,12800,Bilal Powell,RB,14,NYJ,TEN,3,36,12,0,5,5,46,1,0,0,14.20
14,13852,Bobby Rainey,RB,14,TB,NO,0,0,0,0,0,0,0,0,0,0,0.00
15,13741,Brandon Bolden,RB,14,NE,HOU,16,51,3,0,0,0,0,0,0,0,5.10
16,13446,Bruce Miller,FB,14,SF,CLE,1,3,3,0,0,0,0,0,0,0,0.30
17,11737,Cedric Peerman,RB,14,CIN,PIT,0,0,0,0,0,0,0,0,0,0,0.00
18,16307,Charcandrick West,RB,14,KC,SD,10,54,5,0,1,0,0,0,0,0,5.40
19,16609,Charles Sims,RB,14,TB,NO,5,10,2,0,8,6,64,0,0,0,7.40
20,15596,Chase Reynolds,RB,14,LA,DET,0,0,0,0,0,0,0,0,0,0,0.00
21,12239,Chris Ivory,RB,14,NYJ,TEN,22,101,5,0,2,1,6,0,0,0,10.70
22,13735,Chris Polk,RB,14,HOU,NE,11,34,3,0,2,2,14,0,0,0,4.80
23,10949,CJ Spiller,RB,14,NO,TB,3,2,1,0,3,3,7,0,0,0,0.90
24,16031,Damien Williams,RB,14,MIA,NYG,0,0,0,0,3,2,11,0,1,0,1.10
25,14788,Dan Herron,RB,14,IND,JAX,4,16,4,0,2,2,5,0,0,0,2.10
26,12317,Danny Woodhead,RB,14,SD,KC,3,5,2,0,6,3,8,0,0,0,1.30
27,11969,Darrel Young,FB,14,WAS,CHI,0,0,0,0,1,1,2,0,0,0,0.20
28,8066,Darren McFadden,RB,14,DAL,GB,9,111,12,0,2,0,0,0,0,0,11.10
29,6198,Darren Sproles,RB,14,PHI,BUF,7,41,6,1,3,2,4,0,0,0,10.50
30,16898,David Cobb,RB,14,TEN,NYJ,2,1,1,0,0,0,0,0,0,0,0.10
31,16847,David Johnson,RB,14,ARI,MIN,19,92,5,0,7,5,31,0,0,0,12.30
32,7580,DeAngelo Williams,RB,14,PIT,CIN,23,76,3,2,2,2,15,0,0,0,21.10
33,13124,DeMarco Murray,RB,14,PHI,BUF,11,34,3,0,2,2,3,0,0,0,3.70
34,15018,Denard Robinson,RB,14,JAX,IND,14,75,5,1,2,1,12,0,0,0,14.70
35,15631,Derrick Coleman,FB,14,SEA,BAL,1,19,19,0,0,0,0,0,0,0,1.90
36,16524,Devonta Freeman,RB,14,ATL,CAR,12,40,3,0,5,3,22,0,1,1,4.20
37,11220,Dexter McCluster,RB,14,TEN,NYJ,4,12,3,0,5,4,38,0,0,0,7.00
38,8604,Donald Brown,RB,14,SD,KC,0,0,0,0,0,0,0,0,0,0,0.00
39,14385,Doug Martin,RB,14,TB,NO,11,81,7,1,3,1,5,0,0,0,14.60
40,12985,DuJuan Harris,RB,14,SEA,BAL,18,42,2,0,0,0,0,0,1,1,2.20
41,16838,Duke Johnson,RB,14,CLE,SF,13,78,6,0,3,1,6,0,0,0,8.40
42,15138,Eddie Lacy,RB,14,GB,DAL,24,124,5,1,1,1,24,0,0,0,20.80
43,16699,Fitzgerald Toussaint,RB,14,PIT,CIN,0,0,0,0,0,0,0,0,0,0,0.00
44,15616,Fozzy Whittaker,RB,14,CAR,ATL,8,34,4,1,1,1,-6,0,0,0,8.80
45,5820,Frank Gore,RB,14,IND,JAX,16,60,4,0,5,1,-1,0,0,0,5.90
46,5701,Fred Jackson,RB,14,SEA,BAL,7,15,2,0,4,1,8,0,0,0,2.30
47,15497,George Winn,RB,14,DET,LA,0,0,0,0,0,0,0,0,0,0,0.00
48,14916,Giovani Bernard,RB,14,CIN,PIT,6,40,7,0,5,3,27,0,0,0,6.70
49,16740,Glenn Winston,RB,14,CLE,SF,1,-8,-8,0,0,0,0,0,1,1,-2.80
50,16127,Isaiah Crowell,RB,14,CLE,SF,20,145,7,2,1,1,9,0,0,0,27.40
1,16966,Aaron Ripkowski,FB,15,GB,OAK,0,0,0,0,0,0,0,0,0,0,0.00
2,4807,Adrian Peterson,RB,15,MIN,CHI,18,63,4,0,0,0,0,0,0,0,6.30
3,17199,Akeem Hunt,RB,15,HOU,IND,5,26,5,0,2,2,8,0,0,0,3.40
4,16189,Alfred Blue,RB,15,HOU,IND,20,107,5,0,0,0,0,0,1,1,8.70
5,14269,Alfred Morris,RB,15,WAS,BUF,14,84,6,0,0,0,0,0,0,0,8.40
6,16815,Ameer Abdullah,RB,15,DET,NO,9,77,9,1,2,2,12,0,1,1,12.90
7,16402,Andre Williams,RB,15,NYG,CAR,6,21,4,0,0,0,0,0,0,0,2.10
8,12285,Anthony Dixon,RB,15,BUF,WAS,1,5,5,0,1,1,4,0,0,0,0.90
9,13418,Anthony Sherman,FB,15,KC,BAL,0,0,0,0,0,0,0,0,0,0,0.00
10,16163,Antonio Andrews,RB,15,TEN,NE,14,45,3,0,6,5,25,0,0,0,7.00
11,15191,Austin Johnson,FB,15,NO,DET,0,0,0,0,1,1,6,0,0,0,0.60
12,15207,Benjamin Cunningham,RB,15,LA,TB,2,8,4,0,1,0,0,0,0,0,0.80
13,12800,Bilal Powell,RB,15,NYJ,DAL,6,25,4,1,7,7,54,0,0,0,13.90
14,16178,Bishop Sankey,RB,15,TEN,NE,0,0,0,0,3,3,23,0,0,0,2.30
15,13852,Bobby Rainey,RB,15,TB,LA,0,0,0,0,0,0,0,0,0,0,0.00
16,13741,Brandon Bolden,RB,15,NE,TEN,10,36,4,0,3,2,18,0,0,0,5.40
17,13446,Bruce Miller,FB,15,SF,CIN,2,3,2,1,1,1,10,0,0,0,7.30
18,13719,Bryce Brown,RB,15,SEA,CLE,9,43,5,0,1,0,0,0,0,0,4.30
19,16934,Cameron Artis-Payne,RB,15,CAR,NYG,14,59,4,0,2,2,34,0,0,0,9.30
20,11737,Cedric Peerman,RB,15,CIN,SF,0,0,0,0,0,0,0,0,0,0,0.00
21,16307,Charcandrick West,RB,15,KC,BAL,16,76,5,1,2,2,9,0,0,0,14.50
22,16609,Charles Sims,RB,15,TB,LA,7,50,7,0,3,3,22,0,0,0,7.20
23,15596,Chase Reynolds,RB,15,LA,TB,0,0,0,0,0,0,0,0,1,0,0.00
24,12239,Chris Ivory,RB,15,NYJ,DAL,13,37,3,0,2,1,5,0,0,0,4.20
25,13735,Chris Polk,RB,15,HOU,IND,4,6,2,0,0,0,0,0,0,0,0.60
26,15256,Christine Michael,RB,15,SEA,CLE,16,84,5,0,0,0,0,0,0,0,8.40
27,15020,CJ Anderson,RB,15,DEN,PIT,4,14,4,0,3,1,6,0,0,0,2.00
28,10949,CJ Spiller,RB,15,NO,DET,2,2,1,0,5,2,16,0,0,0,1.80
29,16031,Damien Williams,RB,15,MIA,SD,1,1,1,0,2,2,11,0,0,0,1.20
30,14788,Dan Herron,RB,15,IND,HOU,0,0,0,0,1,1,6,0,0,0,0.60
31,12317,Danny Woodhead,RB,15,SD,MIA,8,10,1,1,6,6,50,3,0,0,30.00
32,11969,Darrel Young,FB,15,WAS,BUF,0,0,0,0,1,1,6,0,0,0,0.60
33,8066,Darren McFadden,RB,15,DAL,NYJ,16,100,6,0,3,2,13,0,0,0,11.30
34,6198,Darren Sproles,RB,15,PHI,ARI,6,9,2,0,4,3,16,0,0,0,2.50
35,16898,David Cobb,RB,15,TEN,NE,4,9,2,0,0,0,0,0,0,0,0.90
36,16847,David Johnson,RB,15,ARI,PHI,29,187,6,3,4,4,42,0,0,0,40.90
37,7580,DeAngelo Williams,RB,15,PIT,DEN,14,26,2,1,6,5,30,0,0,0,11.60
38,13124,DeMarco Murray,RB,15,PHI,ARI,2,3,2,0,0,0,0,0,0,0,0.30
39,15018,Denard Robinson,RB,15,JAX,ATL,14,41,3,0,10,8,46,0,2,0,8.70
40,15631,Derrick Coleman,FB,15,SEA,CLE,5,10,2,0,0,0,0,0,0,0,1.00
41,16524,Devonta Freeman,RB,15,ATL,JAX,25,56,2,1,10,7,45,0,0,0,16.10
42,11220,Dexter McCluster,RB,15,TEN,NE,0,0,0,0,0,0,0,0,0,0,0.00
43,8604,Donald Brown,RB,15,SD,MIA,12,90,8,0,3,2,14,0,0,0,10.40
44,14385,Doug Martin,RB,15,TB,LA,18,91,5,0,2,1,6,0,0,0,9.70
45,16838,Duke Johnson,RB,15,CLE,SEA,4,46,12,0,5,5,39,0,1,0,8.50
46,15138,Eddie Lacy,RB,15,GB,OAK,11,23,2,0,0,0,0,0,0,0,2.30
47,16699,Fitzgerald Toussaint,RB,15,PIT,DEN,0,0,0,0,0,0,0,0,0,0,0.00
48,15616,Fozzy Whittaker,RB,15,CAR,NYG,2,2,1,0,2,2,14,0,0,0,1.60
49,5820,Frank Gore,RB,15,IND,HOU,16,44,3,0,2,1,15,0,0,0,5.90
50,5701,Fred Jackson,RB,15,SEA,CLE,0,0,0,0,3,2,17,0,0,0,1.70
